"YEAR","SAMPLE","SERIAL","HHWT","CLUSTER","CITY","STRATA","GQ","STREET","PERNUM","PERWT","RACE","RACED","MBPL","MBPLD","FBPL","FBPLD","OCC"
1900,190001,651841,19.64,1900006518411,5530,134924100000,1,"QUIMBY                                                                            ",1,19.64,1,100,410,41000,410,41000,80
1900,190001,651841,19.64,1900006518411,5530,134924100000,1,"QUIMBY                                                                            ",2,19.64,1,100,34,3400,34,3400,999
1900,190001,651842,19.64,1900006518421,5530,134924100000,1,"                                                                                  ",1,19.64,1,100,13,1300,411,41100,999
1900,190001,651842,19.64,1900006518421,5530,134924100000,1,"                                                                                  ",2,19.64,1,100,42,4200,453,45300,999
1900,190001,651842,19.64,1900006518421,5530,134924100000,1,"                                                                                  ",3,19.64,1,100,39,3900,5,500,999
1900,190001,651842,19.64,1900006518421,5530,134924100000,1,"                                                                                  ",4,19.64,1,100,39,3900,5,500,999
1900,190001,651843,19.64,1900006518431,5530,134924100000,1,"                                                                                  ",1,19.64,1,100,17,1700,39,3900,80
1900,190001,651843,19.64,1900006518431,5530,134924100000,1,"                                                                                  ",2,19.64,1,100,17,1700,21,2100,999
1900,190001,651843,19.64,1900006518431,5530,134924100000,1,"                                                                                  ",3,19.64,1,100,17,1700,17,1700,999
1900,190001,651844,19.64,1900006518441,5530,134924100000,1,"                                                                                  ",1,19.64,1,100,24,2400,51,5100,152
1900,190001,651844,19.64,1900006518441,5530,134924100000,1,"                                                                                  ",2,19.64,1,100,19,1900,19,1900,999
1900,190001,651845,19.64,1900006518451,5530,134924100000,1,"                                                                                  ",1,19.64,1,100,18,1800,39,3900,80
1900,190001,651845,19.64,1900006518451,5530,134924100000,1,"                                                                                  ",2,19.64,1,100,51,5100,39,3900,999
1900,190001,651845,19.64,1900006518451,5530,134924100000,1,"                                                                                  ",3,19.64,1,100,29,2900,27,2700,999
1900,190001,651845,19.64,1900006518451,5530,134924100000,1,"                                                                                  ",4,19.64,1,100,29,2900,27,2700,999
1900,190001,651845,19.64,1900006518451,5530,134924100000,1,"                                                                                  ",5,19.64,1,100,39,3900,39,3900,5
1900,190001,651846,19.64,1900006518461,5530,134924100000,1,"                                                                                  ",1,19.64,1,100,453,45300,453,45300,999
1900,190001,651846,19.64,1900006518461,5530,134924100000,1,"                                                                                  ",2,19.64,1,100,453,45300,453,45300,5
1900,190001,651846,19.64,1900006518461,5530,134924100000,1,"                                                                                  ",3,19.64,1,100,453,45300,453,45300,91
1900,190001,651846,19.64,1900006518461,5530,134924100000,1,"                                                                                  ",4,19.64,1,100,453,45300,453,45300,29
1900,190001,651846,19.64,1900006518461,5530,134924100000,1,"                                                                                  ",5,19.64,1,100,453,45300,453,45300,39
1900,190001,651847,19.64,1900006518471,5530,134924100000,1,"                                                                                  ",1,19.64,1,100,410,41000,410,41000,39
1900,190001,651847,19.64,1900006518471,5530,134924100000,1,"                                                                                  ",2,19.64,1,100,21,2100,51,5100,999
1900,190001,651847,19.64,1900006518471,5530,134924100000,1,"                                                                                  ",3,19.64,1,100,21,2100,410,41000,83
1900,190001,651847,19.64,1900006518471,5530,134924100000,1,"                                                                                  ",4,19.64,1,100,21,2100,410,41000,87
1900,190001,651847,19.64,1900006518471,5530,134924100000,1,"                                                                                  ",5,19.64,1,100,21,2100,410,41000,87
1900,190001,651847,19.64,1900006518471,5530,134924100000,1,"                                                                                  ",6,19.64,1,100,21,2100,410,41000,304
1900,190001,651847,19.64,1900006518471,5530,134924100000,1,"                                                                                  ",7,19.64,1,100,21,2100,410,41000,304
1900,190001,651848,19.64,1900006518481,5530,134924100000,1,"SAVIER ST                                                                         ",1,19.64,1,100,414,41400,414,41400,142
1900,190001,651848,19.64,1900006518481,5530,134924100000,1,"SAVIER ST                                                                         ",2,19.64,1,100,414,41400,414,41400,999
1900,190001,651848,19.64,1900006518481,5530,134924100000,1,"SAVIER ST                                                                         ",3,19.64,1,100,414,41400,414,41400,142
1900,190001,651848,19.64,1900006518481,5530,134924100000,1,"SAVIER ST                                                                         ",4,19.64,1,100,414,41400,414,41400,173
1900,190001,651848,19.64,1900006518481,5530,134924100000,1,"SAVIER ST                                                                         ",5,19.64,1,100,414,41400,414,41400,999
1900,190001,651849,19.64,1900006518491,5530,134924100000,1,"SAVIER ST                                                                         ",1,19.64,1,100,39,3900,18,1800,236
1900,190001,651849,19.64,1900006518491,5530,134924100000,1,"SAVIER ST                                                                         ",2,19.64,1,100,51,5100,18,1800,999
1900,190001,651849,19.64,1900006518491,5530,134924100000,1,"SAVIER ST                                                                         ",3,19.64,1,100,55,5500,26,2600,71
1900,190001,651850,19.64,1900006518501,5530,134924100000,1,"RALEIGH                                                                           ",1,19.64,1,100,39,3900,17,1700,79
1900,190001,651850,19.64,1900006518501,5530,134924100000,1,"RALEIGH                                                                           ",2,19.64,1,100,50,5000,50,5000,999
1900,190001,651850,19.64,1900006518501,5530,134924100000,1,"RALEIGH                                                                           ",3,19.64,1,100,25,2500,17,1700,999
1900,190001,651851,19.64,1900006518511,5530,134924100000,6,"SAVIER ST                                                                         ",1,19.64,1,100,426,42600,426,42600,188
1900,190001,651852,19.64,1900006518521,5530,134924100000,6,"SAVIER ST                                                                         ",1,19.64,1,100,410,41000,410,41000,80
1900,190001,651853,19.64,1900006518531,5530,134924100000,6,"SAVIER ST                                                                         ",1,19.64,1,100,411,41100,411,41100,80
1900,190001,651853,19.64,1900006518531,5530,134924100000,6,"SAVIER ST                                                                         ",2,19.64,1,100,39,3900,21,2100,80
1900,190001,651853,19.64,1900006518531,5530,134924100000,6,"SAVIER ST                                                                         ",3,19.64,1,100,36,3600,39,3900,80
1900,190001,651854,19.64,1900006518541,5530,134924100000,1,"SAVIER ST                                                                         ",1,19.64,1,100,411,41100,453,45300,173
1900,190001,651854,19.64,1900006518541,5530,134924100000,1,"SAVIER ST                                                                         ",2,19.64,1,100,55,5500,426,42600,999
1900,190001,651855,19.64,1900006518551,5530,134924100000,1,"SAVIER ST                                                                         ",1,19.64,1,100,405,40500,405,40500,236
1900,190001,651855,19.64,1900006518551,5530,134924100000,1,"SAVIER ST                                                                         ",2,19.64,1,100,405,40500,405,40500,999
1900,190001,651855,19.64,1900006518551,5530,134924100000,1,"SAVIER ST                                                                         ",3,19.64,1,100,6,600,405,40500,999
1900,190001,651856,19.64,1900006518561,5530,134924100000,1,"THURMAN ST                                                                        ",1,19.64,1,100,405,40500,405,40500,220
1900,190001,651856,19.64,1900006518561,5530,134924100000,1,"THURMAN ST                                                                        ",2,19.64,1,100,405,40500,405,40500,999
1900,190001,651856,19.64,1900006518561,5530,134924100000,1,"THURMAN ST                                                                        ",3,19.64,1,100,405,40500,405,40500,304
1900,190001,651857,19.64,1900006518571,5530,134924100000,1,"THURMAN ST                                                                        ",1,19.64,1,100,405,40500,405,40500,214
1900,190001,651857,19.64,1900006518571,5530,134924100000,1,"THURMAN ST                                                                        ",2,19.64,1,100,405,40500,405,40500,999
1900,190001,651858,19.64,1900006518581,5530,134924100000,1,"THURMAN ST                                                                        ",1,19.64,1,100,405,40500,405,40500,39
1900,190001,651858,19.64,1900006518581,5530,134924100000,1,"THURMAN ST                                                                        ",2,19.64,1,100,405,40500,405,40500,40
1900,190001,651858,19.64,1900006518581,5530,134924100000,1,"THURMAN ST                                                                        ",3,19.64,1,100,405,40500,405,40500,91
1900,190001,651859,19.64,1900006518591,5530,134924100000,1,"THURMAN ST                                                                        ",1,19.64,1,100,405,40500,405,40500,223
1900,190001,651859,19.64,1900006518591,5530,134924100000,1,"THURMAN ST                                                                        ",2,19.64,1,100,453,45300,453,45300,999
1900,190001,651859,19.64,1900006518591,5530,134924100000,1,"THURMAN ST                                                                        ",3,19.64,1,100,32,3200,150,15000,999
1900,190001,651859,19.64,1900006518591,5530,134924100000,1,"THURMAN ST                                                                        ",4,19.64,1,100,32,3200,150,15000,999
1900,190001,651859,19.64,1900006518591,5530,134924100000,1,"THURMAN ST                                                                        ",5,19.64,1,100,32,3200,150,15000,999
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,"THURMAN ST                                                                        ",1,19.64,1,100,405,40500,405,40500,236
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,"THURMAN ST                                                                        ",2,19.64,1,100,405,40500,405,40500,999
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,"THURMAN ST                                                                        ",3,19.64,1,100,405,40500,405,40500,304
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,"THURMAN ST                                                                        ",4,19.64,1,100,405,40500,405,40500,304
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,"THURMAN ST                                                                        ",5,19.64,1,100,405,40500,405,40500,999
1900,190001,651860,19.64,1900006518601,5530,134924100000,1,"THURMAN ST                                                                        ",6,19.64,1,100,405,40500,405,40500,999
1900,190001,651861,19.64,1900006518611,5530,134924100000,1,"THURMAN ST                                                                        ",1,19.64,1,100,39,3900,39,3900,223
1900,190001,651861,19.64,1900006518611,5530,134924100000,1,"THURMAN ST                                                                        ",2,19.64,1,100,50,5000,50,5000,999
1900,190001,651861,19.64,1900006518611,5530,134924100000,1,"THURMAN ST                                                                        ",3,19.64,1,100,50,5000,39,3900,173
1900,190001,651861,19.64,1900006518611,5530,134924100000,1,"THURMAN ST                                                                        ",4,19.64,1,100,410,41000,410,41000,999
