"YEAR","SAMPLE","SERIAL","HHWT","CLUSTER","CITY","STRATA","GQ","SAMPRULE","STREET","PERNUM","PERWT","RACE","RACED","MBPL","MBPLD","FBPL","FBPLD","PRESGL","OCCSTR"
1900,190001,651841,19.64,1900006518411,5530,134924100000,1,1,"QUIMBY                                                                            ",1,19.64,1,100,410,41000,410,41000,28.0,"STREET CAR CONDUCTOR                                                                                  "
1900,190001,651841,19.64,1900006518411,5530,134924100000,1,1,"QUIMBY                                                                            ",2,19.64,1,100,34,3400,34,3400,0.0,"                                                                                                      "
1900,190001,651842,19.64,1900006518421,5530,134924100000,1,1,"                                                                                  ",1,19.64,1,100,13,1300,411,41100,0.0,"                                                                                                      "
1900,190001,651842,19.64,1900006518421,5530,134924100000,1,1,"                                                                                  ",2,19.64,1,100,42,4200,453,45300,0.0,"                                                                                                      "
1900,190001,651842,19.64,1900006518421,5530,134924100000,1,1,"                                                                                  ",3,19.64,1,100,39,3900,5,500,0.0,"                                                                                                      "
1900,190001,651842,19.64,1900006518421,5530,134924100000,1,1,"                                                                                  ",4,19.64,1,100,39,3900,5,500,0.0,"                                                                                                      "
1900,190001,651843,19.64,1900006518431,5530,134924100000,1,1,"                                                                                  ",1,19.64,1,100,17,1700,39,3900,28.0,"STREET CAR CONDUCTOR                                                                                  "
1900,190001,651843,19.64,1900006518431,5530,134924100000,1,1,"                                                                                  ",2,19.64,1,100,17,1700,21,2100,0.0,"                                                                                                      "
1900,190001,651843,19.64,1900006518431,5530,134924100000,1,1,"                                                                                  ",3,19.64,1,100,17,1700,17,1700,0.0,"                                                                                                      "
1900,190001,651844,19.64,1900006518441,5530,134924100000,1,1,"                                                                                  ",1,19.64,1,100,24,2400,51,5100,32.1,"BUTCHER                                                                                               "
1900,190001,651844,19.64,1900006518441,5530,134924100000,1,1,"                                                                                  ",2,19.64,1,100,19,1900,19,1900,0.0,"                                                                                                      "
1900,190001,651845,19.64,1900006518451,5530,134924100000,1,1,"                                                                                  ",1,19.64,1,100,18,1800,39,3900,28.0,"STREET CAR CONDUCTOR                                                                                  "
1900,190001,651845,19.64,1900006518451,5530,134924100000,1,1,"                                                                                  ",2,19.64,1,100,51,5100,39,3900,0.0,"                                                                                                      "
1900,190001,651845,19.64,1900006518451,5530,134924100000,1,1,"                                                                                  ",3,19.64,1,100,29,2900,27,2700,0.0,"AT SCHOOL                                                                                             "
1900,190001,651845,19.64,1900006518451,5530,134924100000,1,1,"                                                                                  ",4,19.64,1,100,29,2900,27,2700,0.0,"                                                                                                      "
